image,prompt,path
0062.png,"there is a dog that is jumping over a person on a skateboard, the spirit of the bull run, masqua, screencap, 5d, balaclava, jerez, still from l'estate, screengrab, extreme emotion, rabbit, inspired by Gillis d'Hondecoeter, rocks falling",me trying to wake up2.csv
0019.png,"there is a man that is standing in the water with a surfboard, cloth simulation with houdini, f1.8 anamorphic, felt tip pen, detailed close foot shot, black leather garment, filmstill, minimalism, grey ears, nikon 200mm, iphone video, salt dunes, gigapixel photo, inspired by Jan Gossaert",me trying to wake up2.csv
0065.png,"there is a woman that is doing a trick on a skateboard, hadouken, military photography, portapotty, 8k'', sweden, stomping, screenshot from a movie, derpy, photo taken in 2018, elaine, infp girl, banner",me trying to wake up2.csv
0017.png,"there are two men playing frisbee on the beach, inside an arabian market bazaar, jean gireaud, healing through motion, photographed on damaged film, manga and anime 2010, fisting monk, shot on anamorphic lenses, circa 1 9 6 9, floors, nun, kids playing, 2009, huleeb",me trying to wake up2.csv
0133.png,"there is a man riding a bike on a cobblestone road, still frame from a movie, traditional geisha clothing, blurred detail, in a race competition, by Anni Albers, female sailor uniforms, black and white image, 2014, people drowning, loosely cropped, workers, nun, inspired by Eugène Boudin, behance favourite",me trying to wake up2.csv
0134.png,"there is a man that is standing on a skateboard in the street, choreographed fight scene, tonal topstitching, video still, damaged japanese clothes, flowing fabric, paris 2010, loosely cropped, brigandine, couple dancing, in screenshot from the 300 movie, rope, white and black clothing, inspired by Afewerk Tekle",me trying to wake up2.csv
0010.png,"several panda bears are walking on a cobblestone road, inspired by Yves Klein, still image from the movie, detail, by Raoul Ubac, laying on the ground, allegorical realism, by Itō Ogura Yonesuke, stomping, spectators, 1996), aspect ratio 16:9, whitehorns, intaglio",me trying to wake up2.csv
0101.png,"there is a dog that is playing with a bird on the beach, danza azteca dancers, black and white fur, epic action shot, inuk, human dressed as a bull, bent over posture, dvd screencapture, filleting technique, by Alasdair Grant Taylor, wide belt scabbard, saturno buttò, carnival, rug",me trying to wake up2.csv
0059.png,"there are many people playing baseball on the field with their feet in the air, steel bull run, colour corrected, shipibo, inspired by Tawaraya Sōtatsu, screenshot from a movie, closeup view, sharp long horns, nordic folk, unsharp mask, panning shot, 2010, beaten, by Dirck van der Lisse, archival pigment print",me trying to wake up2.csv
0088.png,"several men in white shirts and black pants are playing with a dog, scene from kagemusha, wearing white robes, full of sand and dust, 2013, brawl, dark grey robes, documentary photo, still from film, with violence, tradition, beaten, ceremony, rocks falling",me trying to wake up2.csv
0025.png,"arafed baseball player in motion with a bat in his hand, anamorphic film, the olympics footage, black and white image, 2013, filmstill, by Zou Yigui, breakdancing, horse race, bow ashigaru, by Benjamin Block, a screenshot of a rusty, shutter speed 1/1000, clemente, catapult",me trying to wake up2.csv
0022.png,"they are playing baseball on the field in black and white, official jil sander editorial, close-up fight, blurred detail, screenshot from the 1983 film, inspired by Yoshitoshi Mori, parkour, photo courtesy museum of art, anamorphic film, as photograph",me trying to wake up2.csv
0106.png,"there is a man that is falling off of a horse, shinya tsukamoto, children playing at the beach, loosely cropped, one single man in a hazmat suit, epic 1986 cinematic still, olympics footage, sleepers, shinji higuchi and tomoki kyoda, historical reenactment, dead alive (1992), # film",me trying to wake up2.csv
0108.png,"there is a man laying on the beach with a dog, film still of manny pacquiao, ultrafine detail, focus on sneakers only, screenshot from the 1983 film, subject= chimp, a woman floats in midair, loosely cropped, the photo was taken from a boat, stillframe, by Antonio Saura, violent protest, broken statues",me trying to wake up2.csv
0050.png,"several people laying on the ground playing with a frisbee, rainfall and mud, inspired by Mirabello Cavalori, screengrab, by Maria van Oosterwijk, summer camp, hoofs, in russia, ground explosion, catastrophe, in a race competition, july 2 0 1 1, japanese tv show",me trying to wake up2.csv
0081.png,"several people in costumes are playing with a skateboard in the sand, rick owens, dancing elegantly over you, screengrab, dressed in plastic bags, david shing, showstudio, in a flowing white tailcoat, style of mike jackson, by Oliver Sin, devils, windy, kpop, 2 0 1 4. modern attire, woo kim, thy",me trying to wake up2.csv
0057.png,"there is a man that is playing with a dog in the dirt, bow ashigaru, at the world cup, ultra realistic, more relief effects, white bandage tape on fists, intimidating floating sand, this is hell, the second… like a calf, youtube video screenshot, by Adam Willaerts, intense emotion",me trying to wake up2.csv
0086.png,"several people are playing with a frisbee in a park, rick owens, still frame from a movie, leg, ramil sunga, battle stance, ancient kings in white robes, fined detail, épaule devant pose, twisting streets, tpose, zoomed, high definition screen capture",me trying to wake up2.csv
0097.png,"there is a man that is throwing a baseball to a batter, the spirit of the bull run, inspired by Sergio Larraín, half goat, pictured from the shoulders up, by Marina Abramović, torn clothes, fighting each other, stomping, imagery",me trying to wake up2.csv
0046.png,"there are two people that are playing baseball on the dirt, horrors filmed on camera, cruelty, by Federico Uribe, photo taken in 2018, flying pig, buried in sand, close-up on legs, blurred detail, painfully adorable, riot, heartbreaking",me trying to wake up2.csv
0090.png,"there is a man that is trying to get a cow out of the ground, capirote, vfx film closeup, blanco y negro, by Jean Tabaud, carnaval de barranquilla, battle action shot, television screenshot, 2 0 1 2, equestrian photography, blood on sand, islamic, torn sails, black and white color photograph",me trying to wake up2.csv
0041.png,"there are two men wrestling on the ground in a game, techwear fashion, hell in the background, bali, still shot, at a beach, two legs two arms one head, 2013, white belt, man is with black skin, distorted, color grade, whitehorns, taco, photo taken in 2018, !!!!!!!!!!!!!!!!!!!!!!!!!, chaotic",me trying to wake up2.csv
0119.png,"there are many people standing in a boat on the water, comme des garcon campaign, petzval lens. out of focus, gang flags, nicovideo, battle action shot, yoshitaka amano vibe, black white, hito steyerl, location ( favela ), one fist raised high in triumph, surf, 2013, header",me trying to wake up2.csv
0033.png,"there is a woman that is standing on a skateboard in the street, riding a horse!!! in saharan, blurred detail, showstudio, leica m 9, vertical wallpaper, white cowboy hat, juan caloto, running sequence, velasquez, noire photo, poncho, widescreen shot",me trying to wake up2.csv
0117.png,"there are two people that are playing baseball on the field, inspired by Louis Faurer, close up 1 9 9 0, hyperspeed, photo 1998, inspired by Fabien Charuau, shot on anamorphic lenses, season 3 ( 1 9 9 7 ), circa 1 9 6 9",me trying to wake up2.csv
